"4","3","Mon May 11 03:17:40 UTC 2009","kindle2","tpryan","@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
"4","4","Mon May 11 03:18:03 UTC 2009","kindle2","vcu451","Reading my kindle2...  Love it... Lee childs is good read."
"4","5","Mon May 11 03:18:54 UTC 2009","kindle2","chadfu","Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
"4","6","Mon May 11 03:19:04 UTC 2009","kindle2","SIX15","@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)"
"4","7","Mon May 11 03:21:41 UTC 2009","kindle2","yamarama","@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)"
"4","8","Mon May 11 03:22:00 UTC 2009","kindle2","GeorgeVHulme","@richardebaker no. it is too big. I'm quite happy with the Kindle2."
"0","9","Mon May 11 03:22:30 UTC 2009","aig","Seth937","Fuck this economy. I hate aig and their non loan given asses."
"4","10","Mon May 11 03:26:10 UTC 2009","jquery","dcostalis","Jquery is my new best friend."
"4","11","Mon May 11 03:27:15 UTC 2009","twitter","PJ_King","Loves twitter"
"4","12","Mon May 11 03:29:20 UTC 2009","obama","mandanicole","how can you not love Obama? he makes jokes about himself."
"0","14","Mon May 11 03:32:48 UTC 2009","obama","kylesellers","@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
"4","15","Mon May 11 03:33:38 UTC 2009","obama","theviewfans","House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
"4","16","Mon May 11 05:05:58 UTC 2009","nike","MumsFP","Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!"
"0","17","Mon May 11 05:06:22 UTC 2009","nike","vincentx24x","dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
"4","18","Mon May 11 05:20:15 UTC 2009","lebron","cameronwylie","#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
"0","19","Mon May 11 05:20:28 UTC 2009","lebron","luv8242","I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James."
"4","20","Mon May 11 05:21:04 UTC 2009","lebron","mtgillikin","i love lebron. http://bit.ly/PdHur"
"0","21","Mon May 11 05:21:37 UTC 2009","lebron","ursecretdezire","@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
"4","22","Mon May 11 05:21:45 UTC 2009","lebron","Native_01","@Pmillzz lebron IS THE BOSS"

