Just got back from the hospital. Cut my leg and had to get stitches. ,0
About to eat a late lunch. I don't feel rested ,0
Beach week has been soooo awsome, too bad it is soon over ,0
@Nekrosangelo hungover.. still.. and just generally tired and the weather doesn't help the mood.. it's just one of those days ,0
But I liked his collaborations with Linkin Park... aaahh... I can't wait for LP's another album...  I miss you LP....,0
s way to texas. ,0
@vanee It doesn't work on my pc ,0
You love my boyfriend more ,0
i wanna watch brit brit live in concert ,0
@eightiswild YAYZ! I have missed my white-coated friends.  BUT NOW THEY ARE BACK! *dons self-huggy jacket in anticipation*,0
@DixonTam me too!       Not fun...,0
So, I guess I need to take some lessons  Nice, new features to the course  http://yfrog.com/6qqh8j,0
Checking out my TweetStats! http://tweetstats.com/graphs/buffyc not seen @flyster in ages  were for art though?,0
am seriously scared now by this thunder and lightening - the house just shook. Scary man ,0
Going to clean my nasty car out.... Wish I could afford auto bell right now with the way it's lookin and smellin ,0
tini.us server is still down, sorry for inaccessible tweet links  going to use http://bit.ly from now on,0
im cranky today  idk y, maybe im still in my bad mood from last night. I dnt wanna cry again,0
Hungry. Bread won't be done til after I am gone. I won't get my favorite piece ,0
@Erickia why? ,0
My hairdresser told me this morning that Toni &amp; Guy co-founder, Guy Mascolo died of a heart attack in Dallas at 65.  ,0
Just came back from the tokyo game action auction in winchendon. Very depressing ,0
@CoachTomFerry Some people don't care! Shopping is LIFE for them! LOL I would too, if I was able. ,0
@peoplefight i were on mcfly secrets about 3 weeks ago ,0
http://twitpic.com/6r9ug - I miss this bitch ,0
@LilTechMan ugh you aren't hte only one ,0
Poor birdie....it just crashed into the side windshield  (going 60) its rainny....sucky... ,0
@KimKardashian when i was eight years old i had really long hair and my gramma cut it so short that i couldnt even feel it in my neck ,0
@dougiemcfly We are going to miss you Douglas Lee Poynter ,0
Wish I had my duffel bag today...this shoulder bag is heavy ,0
@lucascruikshank http://twitpic.com/6r91c - What's Fred gonna do? It fell on the playground!! ,0
@thenewpsies i've been invited out to dinner, such an effort to go back out in the cold ,0
@thecomicproject  and they make pathetic websites too   crushes my heart..  The largest set of  Phantom and Mandrake in publication  ..,0
 it would appear that my garmin, Rupert, &quot;lost&quot; the data for my last 2 runs - today's race too + it didn't upload to garmin connect. ,0
Takes forever for everybody to get ready. ,0
@Uk_joedan_fan Thanks. She's seeing the neurologist on Mon to see if there's any chance of shrinking it but if not..well, it's not good ,0
http://twitpic.com/6r9vf - almost there! say *goodbye* to the **blonde**.... ,0
@tonymatterhorn thanks hun i wanted the Twitter Song tho  you already sent me survivor,0
Battery is dying tweets so I may not be able to tweet at the show ,0
@SamirInVancity HOW did you do it. I've been hitting 'refresh' trying to buy my boss tickets for the last 45 minutes with no luck at all! ,0
@jennymocha hang in there. I know how you feel, though. ,0
Crap weather ,0
What is there to do??? OH. I forgot. There's nothing to do here. Sigh. Back to sitting on my buttt all day ,0
@fluffysucks Yes it is perfect for this morning. Is it only streaming for so long, then..*poof* gone? How will I listen after that? ,0
